"Time (s)","Sound pressure level (dB)"
3.422049065E2,-5.106466830E1
3.423110962E2,-5.355622327E1
3.424152474E2,-5.295008270E1
3.425208965E2,-5.225280089E1
3.426239490E2,-5.314956975E1
3.427300570E2,-5.319087105E1
3.428339152E2,-5.342859597E1
3.429375043E2,-5.247361540E1
3.430437444E2,-5.404949587E1
3.431492867E2,-5.437266208E1
3.432542955E2,-5.397003820E1
3.433588965E2,-5.379919832E1
3.434638518E2,-4.333647999E1
3.435703009E2,-4.778594563E1
3.436725152E2,-4.802686348E1
3.437790066E2,-5.139886521E1
3.438852771E2,-5.466579555E1
3.439875608E2,-5.070114666E1
3.440939362E2,-5.053595953E1
3.441976490E2,-4.768605885E1
3.443038012E2,-4.639499327E1
3.444088683E2,-4.646162917E1
3.445151680E2,-5.099802627E1
3.446209838E2,-4.894279477E1
3.447269191E2,-4.764159257E1
3.448329437E2,-5.308384390E1
3.449376926E2,-5.285984802E1
3.450392817E2,-5.460289130E1
3.451450854E2,-5.343430830E1
3.452513457E2,-5.376996043E1
3.453543113E2,-5.190089980E1
3.454551164E2,-5.292118515E1
3.455609214E2,-5.215182672E1
3.456672731E2,-5.058552226E1
3.457712004E2,-5.374530557E1
3.458736452E2,-5.313605443E1
3.459799930E2,-5.348269607E1
3.460842861E2,-5.167112731E1
3.461876764E2,-5.507204960E1
3.462885640E2,-5.053185824E1
3.463948843E2,-4.228255983E1
3.464972659E2,-4.817245099E1
3.466035880E2,-5.351765029E1
3.467054221E2,-5.420790709E1
3.468078840E2,-5.312377439E1
3.469139558E2,-5.416442675E1
3.470161318E2,-5.272760964E1
3.471210668E2,-5.431373858E1
3.472219677E2,-5.353489119E1
3.473244134E2,-5.351747162E1
3.474306963E2,-4.728590164E1
3.475364549E2,-4.430689764E1
3.476378805E2,-4.144915143E1
3.477386643E2,-4.999580170E1
3.478431656E2,-5.051911197E1
3.479495142E2,-4.435445573E1
3.480545551E2,-5.084959586E1
3.481608080E2,-4.489014276E1
3.482650747E2,-4.045059394E1
3.483711544E2,-4.497263054E1
3.484720532E2,-5.012362696E1
3.485763143E2,-4.785490821E1
3.486797139E2,-4.213406893E1
3.487858225E2,-4.656675979E1
3.488880225E2,-5.199801536E1
3.489937234E2,-5.283543048E1
3.490976597E2,-4.086992540E1
3.492039424E2,-3.949423855E1
3.493090466E2,-3.925717561E1
3.494120134E2,-4.522382940E1
3.495178472E2,-5.391614158E1
3.496213630E2,-4.550594713E1
3.497229177E2,-4.248890975E1
3.498289892E2,-5.001094087E1
3.499352499E2,-5.376341951E1
3.500380718E2,-5.376691108E1
3.501436471E2,-5.313169787E1
3.502499687E2,-5.080521559E1
3.503547498E2,-5.430432584E1
3.504610593E2,-5.142612854E1
3.505625879E2,-5.375819923E1
3.506692253E2,-5.287498017E1
3.507714707E2,-5.353083626E1
3.508778688E2,-5.365367009E1
3.509841447E2,-5.334250884E1
3.510881839E2,-5.386998790E1
3.511944459E2,-5.293693477E1
3.512976325E2,-5.264524326E1
3.514039845E2,-5.477310616E1
3.515071001E2,-5.257182752E1
3.516120490E2,-5.269224951E1
3.517185125E2,-5.411084941E1
3.518215577E2,-4.323061071E1
3.519229305E2,-4.516420204E1
3.520271627E2,-4.085727776E1
3.521334508E2,-4.082102198E1
3.522382745E2,-4.500619902E1
