"Time (s)","Sound pressure level (dB)"
6.156493450E1,-5.401082228E1
6.167036379E1,-5.223297682E1
6.177675433E1,-5.336294193E1
6.188161871E1,-5.459304974E1
6.198706050E1,-4.235427183E1
6.209047638E1,-4.170491164E1
6.219684900E1,-4.520133772E1
6.229833842E1,-4.719112799E1
6.240366154E1,-4.005080388E1
6.250999325E1,-4.529260336E1
6.261499875E1,-5.182857042E1
6.272035717E1,-4.840486604E1
6.282642642E1,-5.072323509E1
6.293170879E1,-5.248653006E1
6.303702704E1,-5.495339690E1
6.314334850E1,-5.294568294E1
6.324843833E1,-5.525689896E1
6.335371063E1,-5.425537449E1
6.346003425E1,-5.294499991E1
6.356507550E1,-5.573255092E1
6.367007000E1,-5.474835256E1
6.377630921E1,-5.376695428E1
6.388177642E1,-5.580102724E1
6.398707387E1,-5.348914102E1
6.409332629E1,-5.415134982E1
6.419848392E1,-4.840513850E1
6.430367379E1,-3.442643181E1
6.441000938E1,-3.780155385E1
6.451515096E1,-2.706496084E1
6.462036950E1,-2.535220337E1
6.472259392E1,-2.422933503E1
6.482886383E1,-2.541713291E1
6.493181892E1,-2.836614679E1
6.503704050E1,-3.523166563E1
6.514327150E1,-4.827136464E1
6.524865712E1,-5.468329620E1
6.535367562E1,-5.542896314E1
6.546009242E1,-5.596479322E1
6.556520608E1,-5.527053822E1
6.567036204E1,-5.433553086E1
6.577170946E1,-5.430437935E1
6.587425058E1,-4.286198825E1
6.598051537E1,-4.603891183E1
6.608194400E1,-4.547167360E1
6.618700929E1,-4.429911061E1
6.629053662E1,-4.392205040E1
6.639400933E1,-3.766269142E1
6.649861625E1,-4.535841495E1
6.660367187E1,-5.210653371E1
6.670993221E1,-5.474671851E1
6.681533208E1,-3.942819196E1
6.692031121E1,-4.310825487E1
6.702576338E1,-4.480012297E1
6.713202275E1,-5.203634797E1
6.723700846E1,-4.885074808E1
6.734048000E1,-4.884172571E1
6.744682267E1,-5.149904072E1
6.754870950E1,-4.924365148E1
6.765368150E1,-4.796432656E1
6.775994517E1,-4.124576754E1
6.786549467E1,-3.872953041E1
6.796983587E1,-4.729371968E1
6.807621096E1,-5.173605455E1
6.818221775E1,-5.415217590E1
6.828880600E1,-5.541275585E1
6.839517892E1,-5.406474895E1
6.849883512E1,-5.527452939E1
6.860528917E1,-5.570254370E1
6.870912554E1,-5.643733271E1
6.881509579E1,-5.412616927E1
6.892158929E1,-4.386887791E1
6.902789471E1,-3.694218386E1
6.913214104E1,-3.531623105E1
6.923368683E1,-3.775765762E1
6.933980804E1,-4.336990376E1
6.944622521E1,-4.036541943E1
6.954891054E1,-4.312058375E1
6.965309546E1,-4.228654371E1
6.975948846E1,-3.912373172E1
6.986562562E1,-4.106192373E1
6.997067329E1,-4.112880094E1
7.007698696E1,-5.301794087E1
7.018230121E1,-5.140672338E1
7.028824879E1,-5.389632841E1
7.039466342E1,-4.399113382E1
7.049902337E1,-3.836777471E1
7.060568933E1,-4.006693198E1
7.071203062E1,-4.017071298E1
7.081564783E1,-5.152350261E1
7.091885779E1,-4.218117149E1
7.102170450E1,-4.015824577E1
7.112399775E1,-4.307010600E1
7.123035587E1,-5.346920524E1
7.133238787E1,-4.305407751E1
7.143886675E1,-4.448596620E1
7.154054004E1,-4.331280435E1
7.164514146E1,-4.705389967E1
7.174914717E1,-4.476246251E1
7.185574646E1,-4.438030512E1
7.196057450E1,-4.422859089E1
7.206585017E1,-4.526918761E1
7.217227846E1,-5.036806736E1
7.227440500E1,-4.566641220E1
